month,valid_industries,formation_return_mean,formation_return_std,formation_return_spread_p90_p10,top_decile_count,bottom_decile_count
2005-12-31,49,0.05896213034242471,0.1409772804533881,0.2962794127944306,5,5
2006-01-31,49,0.06626734086432465,0.14384587829093332,0.25534697739426077,5,5
2006-02-28,49,0.0909778532914599,0.13560720164556037,0.2523732078076085,5,5
2006-03-31,49,0.10724364783705169,0.14575021679109276,0.27527515361235927,5,5
2006-04-30,49,0.12919617482707663,0.1324774037052875,0.2812080570548222,5,5
2006-05-31,49,0.21136670565297525,0.1802900562510878,0.360209526842163,5,5
2006-06-30,49,0.18602931792166014,0.2108689133936941,0.4088277825559068,5,5
2006-07-31,49,0.13427964779997462,0.1748558787578637,0.3842922013113582,5,5
2006-08-31,49,0.07861716775635406,0.14226676810096064,0.3354614842763504,5,5
2006-09-30,49,0.06853186825639883,0.12853049347069456,0.31457657218809293,5,5
2006-10-31,49,0.07937039401832703,0.10568396709520003,0.25059100582307536,5,5
2006-11-30,49,0.12402204977575225,0.10894173107699313,0.2562392876905642,5,5
2006-12-31,49,0.12787165479901097,0.11421077770585386,0.30769828621713463,5,5
2007-01-31,49,0.1562311890517415,0.11806212082680298,0.29828055100354217,5,5
2007-02-28,49,0.11683595333183183,0.12037371767057446,0.24782275442475493,5,5
2007-03-31,49,0.14519792693346972,0.1153500511051586,0.23843120249591035,5,5
2007-04-30,49,0.10920438219389411,0.1100920983942496,0.2523448035324614,5,5
2007-05-31,49,0.10554160586079067,0.13354275427262063,0.3006511298369622,5,5
2007-06-30,49,0.1910112530377936,0.14248871357410542,0.2727051913469502,5,5
2007-07-31,49,0.24312987842195316,0.14642222754866796,0.27962486907946443,5,5
2007-08-31,49,0.2486093472936209,0.15772409159200448,0.35716667679727426,5,5
2007-09-30,49,0.18824243456785605,0.16308155398828084,0.31231302864057553,5,5
2007-10-31,49,0.17599873232747523,0.1502964858203458,0.31947184059334993,5,5
2007-11-30,49,0.1763145100997195,0.1889481864836567,0.3490271166427614,5,5
2007-12-31,49,0.17950401396130292,0.19870385249895686,0.2994066885846739,5,5
2008-01-31,49,0.11937164492154732,0.19439853713426544,0.3311885752404785,5,5
2008-02-29,49,0.08516236774899423,0.21846676766770173,0.4116704364870324,5,5
2008-03-31,49,0.029581351193620327,0.20370297964589373,0.3520716178299813,5,5
2008-04-30,49,0.004989890521464509,0.22742221735596854,0.3809799635236538,5,5
2008-05-31,49,-0.04950853206287839,0.19207820996608888,0.3756096705262407,5,5
2008-06-30,49,-0.046566319886655355,0.19774764943780662,0.4205517968917892,5,5
2008-07-31,49,-0.0008766312555426813,0.24025426719860882,0.43031081102485697,5,5
2008-08-31,49,-0.04228031883854293,0.3401937353856689,0.4740959805026048,5,5
2008-09-30,49,-0.06160643549052454,0.2605399413909057,0.41989741747780196,5,5
2008-10-31,49,-0.088897993839783,0.19750211924612573,0.36425616241922754,5,5
2008-11-30,49,-0.22403103287030104,0.13062644416804736,0.38859015043714595,5,5
2008-12-31,49,-0.35591752204637295,0.13076880844658964,0.36933604169344036,5,5
2009-01-31,49,-0.4093537296844427,0.13829629926796957,0.3916482228510724,5,5
2009-02-28,49,-0.3544791880465,0.14202226813958002,0.3850649602499127,5,5
2009-03-31,49,-0.3914537832062884,0.15264736555435515,0.4191605764675733,5,5
2009-04-30,49,-0.4527295471222013,0.15203359510180706,0.37112352972633866,5,5
2009-05-31,49,-0.42964049733925497,0.1613013616114183,0.44018110964808477,5,5
2009-06-30,49,-0.3660094517579788,0.13235827569044814,0.3457456542261724,5,5
2009-07-31,49,-0.2712180832340963,0.14901202414366463,0.356990370903269,5,5
2009-08-31,49,-0.27444728174389654,0.13867131748696152,0.2982944118670744,5,5
2009-09-30,49,-0.22442975390354963,0.1241580911645613,0.28239409730616816,5,5
2009-10-31,49,-0.09516374427615504,0.10452985503934908,0.2858944852876557,5,5
2009-11-30,49,0.2142813330834362,0.18768045974041903,0.40284682900830593,5,5
2009-12-31,49,0.29302086816222345,0.22242563199287896,0.5592550638242108,5,5
2010-01-31,49,0.3219486203813731,0.22337880987650852,0.48242383432091196,5,5
2010-02-28,49,0.5016871201126535,0.26981771330725746,0.6439529923958824,5,5
2010-03-31,49,0.6356842105089073,0.3174805558076856,0.7939588475461821,5,5
2010-04-30,49,0.5818200008764826,0.32291010594270314,0.6796709254590729,5,5
2010-05-31,49,0.4337531752721788,0.18241265004931648,0.39819131148141584,5,5
2010-06-30,49,0.4120171950792212,0.20778988825853628,0.4420192244331478,5,5
2010-07-31,49,0.30885288397657273,0.19719560226749452,0.4286205804467714,5,5
2010-08-31,49,0.11269039258992192,0.1380063867567924,0.30571092831078794,5,5
2010-09-30,49,0.14977599415751325,0.13092421786303354,0.29037716879076736,5,5
2010-10-31,49,0.03832424992673836,0.12550086002782276,0.2891528553167043,5,5
2010-11-30,49,0.1926685886524445,0.14326891856266377,0.34704430128709074,5,5
2010-12-31,49,0.1724034359732473,0.1493577493720417,0.30818255053999893,5,5
2011-01-31,49,0.14941034653609567,0.16988750485013912,0.3552750584056487,5,5
2011-02-28,49,0.2821761362286563,0.1854560247479022,0.4590474401987966,5,5
2011-03-31,49,0.23560377886320985,0.1505698888381582,0.3370751587295933,5,5
2011-04-30,49,0.19867063332143584,0.13640303252367644,0.30736280283142575,5,5
