year,ism_state,observations,unique_industries,mean_ism_score,mean_formation_return_12_1,median_formation_return_12_1
2009,BOTTOM_DECILE,60,16,0.04166666666666665,-0.48619075513624227,-0.5751558622891093
2009,MIDDLE,468,49,0.5000000000000001,-0.231516523344009,-0.2970726513593013
2009,TOP_DECILE,60,18,0.9583333333333333,0.03669430231340421,-0.078562370453607
2010,BOTTOM_DECILE,60,13,0.04166666666666665,0.0004472376052047741,0.00955863865510935
2010,MIDDLE,468,49,0.5,0.3129985819038954,0.2799249916665384
2010,TOP_DECILE,60,15,0.9583333333333334,0.711824948675335,0.7042790681250952
2011,BOTTOM_DECILE,60,17,0.041666666666666644,-0.01569346139047132,-0.0026569885078388997
2011,MIDDLE,468,49,0.5,0.19832337376055825,0.2020477940958538
2011,TOP_DECILE,60,17,0.9583333333333333,0.4911535992824155,0.5121710007389735
2012,BOTTOM_DECILE,60,10,0.041666666666666644,-0.24244334595466718,-0.22433903165876645
2012,MIDDLE,468,47,0.5,0.06176896133479388,0.0519595215045942
2012,TOP_DECILE,60,17,0.9583333333333334,0.27927380646361005,0.265412349823753
2013,BOTTOM_DECILE,60,10,0.041666666666666644,-0.13599463097139636,-0.1130109803323801
2013,MIDDLE,468,46,0.5,0.21669188497919378,0.2151070637516809
2013,TOP_DECILE,60,13,0.9583333333333334,0.484616586122092,0.5004706766697714
2014,BOTTOM_DECILE,60,15,0.041666666666666644,-0.07044437352136632,-0.029466948081670802
2014,MIDDLE,468,46,0.5,0.20208058302609813,0.1914538021699139
2014,TOP_DECILE,60,13,0.9583333333333333,0.4719014811909787,0.4218274551516052
2015,BOTTOM_DECILE,60,9,0.04166666666666664,-0.2985589205777955,-0.262238553712969
2015,MIDDLE,468,47,0.5,0.06318030284055681,0.07015038769896195
2015,TOP_DECILE,60,14,0.9583333333333335,0.2544521755062818,0.2527894075325898
2016,BOTTOM_DECILE,60,17,0.04166666666666665,-0.24582713620523589,-0.18021474708104415
2016,MIDDLE,468,48,0.5,0.013192749138079546,0.020435798272518797
2016,TOP_DECILE,60,17,0.9583333333333334,0.33441789526433197,0.20517709790473235
2017,BOTTOM_DECILE,60,14,0.04166666666666665,-0.03552876155382827,-0.03716848552547105
2017,MIDDLE,468,49,0.5,0.18219698164915143,0.1823779998225414
2017,TOP_DECILE,60,16,0.9583333333333334,0.47359721707988905,0.4095227598465885
2018,BOTTOM_DECILE,60,16,0.041666666666666644,-0.10386780385801754,-0.0829862712065319
2018,MIDDLE,468,49,0.5,0.13699267545549154,0.1344884361564894
2018,TOP_DECILE,60,16,0.9583333333333333,0.3880424441117809,0.38833860346249355
2019,BOTTOM_DECILE,60,14,0.041666666666666644,-0.23549539786444892,-0.22290473452280313
2019,MIDDLE,468,49,0.5,0.009164618329401384,0.01108337868681635
2019,TOP_DECILE,60,20,0.9583333333333333,0.20701024895825174,0.1972284902760046
2020,BOTTOM_DECILE,60,11,0.04166666666666664,-0.34087919015846146,-0.3450121139096006
2020,MIDDLE,468,46,0.5,0.04163228919261989,0.0394524386665706
2020,TOP_DECILE,60,12,0.9583333333333333,0.45111087748431766,0.39328754330475213
2021,BOTTOM_DECILE,60,18,0.04166666666666664,0.03985919266612099,0.08575552393120395
2021,MIDDLE,468,49,0.5,0.396546008069915,0.37026489000088014
