asset_id,symbol,exchange,status,tradable,security_type_assessment,security_type_reason
1aea24ef-37ea-4b25-8742-04aeb7ceeab9,PCAPU,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains UNIT
0351cf72-de14-477c-af43-49729da1e0b5,WNTR,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
8b3960f5-bd17-4410-bf1e-396add3463b7,WOLF,NYSE,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
58e10c61-2f3b-424c-8a6a-0140d8d0f9d0,WOMN,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
0c0fbc88-84a0-4bbd-8131-57ac83c0ca37,WOOD,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
6ed605ed-82fc-4c3c-8ca1-a8fa31e823c5,WPAC,NYSE,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
7a6546fc-983a-44e3-bca7-f5c2fb57b703,WR,BATS,active,True,EXCLUDED_NON_COMMON,name contains ETF
d0ccaec0-9543-404f-aaed-182995fe9484,WRAP,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
a7937e28-38d3-43d3-a55e-1c5b110e0615,WRN,AMEX,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
6107ee5c-97c9-4afb-bbba-a31886be1de4,WRND,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
a0a1ef17-b973-46cb-b9c3-0879404cbed2,WRTH,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
c565cb2c-3a78-4c67-b9f9-7244364f45ac,WSBCO,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains PREFERRED
f0627b08-c2fc-4806-8b9a-5cab2ed47f2a,WSDB,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
7178a5fb-7c2e-40a7-abf6-caf5d374bd88,WSGE,NASDAQ,active,True,EXCLUDED_NON_COMMON,name contains ETF
1efff35d-0aab-475d-a162-c8eaf8d499ce,WSHP,NASDAQ,active,True,COMMON_STOCK_COMPATIBLE,metadata compatible with common-stock filter
1e76a68b-eaf5-472c-81d7-1a84e22dc492,WSMD,ARCA,active,True,EXCLUDED_NON_COMMON,name contains ETF
3627f77b-d711-44e0-82c0-6892f6d71263,WSO.B,NYSE,active,True,EXCLUDED_SYMBOL_PATTERN,symbol not simple 1-5 uppercase letters
