,CSM-001
2024-07-02,-0.026617082580804582
2024-07-03,0.013337642030569835
2024-07-05,-0.00017337758631235083
2024-07-08,0.017941069063877782
2024-07-09,0.0002750424217575374
2024-07-10,0.01474007573298326
2024-07-11,0.03176117337512807
2024-07-12,0.008285596017942556
2024-07-15,-0.008818432430444393
2024-07-16,0.037905048775948205
2024-07-17,-0.04706566680203025
2024-07-18,-0.05610001529857109
2024-07-19,-0.02254606473503882
2024-07-22,0.04123295138792449
2024-07-23,0.014730826227158707
2024-07-24,-0.049464037768689295
2024-07-25,-0.005665328883425226
2024-07-26,0.014641381337374627
2024-07-29,-0.011805485136809853
2024-07-30,-0.02388621838191754
2024-07-31,0.03720234615167869
2024-08-01,-0.03722296357141586
2024-08-02,-0.038309262182960706
2024-08-05,-0.028223648970593977
2024-08-06,0.027781814745741602
2024-08-07,-0.010743790755754068
2024-08-08,0.060479551644857577
2024-08-09,0.0009603638346515186
2024-08-12,0.008235100125375993
2024-08-13,0.02369763142855623
2024-08-14,-0.001191728696713108
2024-08-15,0.029748216642962948
2024-08-16,-0.00016714368766717952
2024-08-19,0.012915611918930928
2024-08-20,-0.015949928202137344
2024-08-21,0.009376763989204461
2024-08-22,-0.018247978853453334
2024-08-23,0.028868440790400178
2024-08-26,-0.009988270249425057
2024-08-27,-0.011676712440121651
2024-08-28,-0.020857323756300842
2024-08-29,0.0048007337283007745
2024-08-30,0.009973174037487655
2024-09-03,-0.032658871415702145
2024-09-04,-0.0011080195574452393
2024-09-05,0.0002392035823000952
2024-09-06,-0.028663677078201943
2024-09-09,0.023670875257978084
2024-09-10,0.01672905101906982
2024-09-11,0.003139096194394054
2024-09-12,0.02152772762745157
2024-09-13,0.031417754418783014
2024-09-16,-0.00396586695262581
2024-09-17,0.002615542535848214
2024-09-18,-0.0055001720546316605
2024-09-19,0.021781528928761527
2024-09-20,-0.0017904226693836417
2024-09-23,-0.016130380612696588
2024-09-24,-0.003223342530669178
2024-09-25,-0.014323348101863882
2024-09-26,0.005102507637750952
2024-09-27,-0.0014116840576644484
2024-09-30,0.004179755339226312
2024-10-01,-0.006818409198263083
2024-10-02,-0.00041487017005647185
2024-10-03,-0.015000434724238683
2024-10-04,0.02352343755432774
2024-10-07,-0.021141953073158866
2024-10-08,0.0013291975425544548
2024-10-09,-0.0026256253624644633
2024-10-10,-0.009339989795690977
2024-10-11,0.03431959559064355
2024-10-14,0.010069849073603912
2024-10-15,-0.0014780690769060486
2024-10-16,0.02410103825172048
2024-10-17,-0.018082246618750217
2024-10-18,-0.0023070554315796263
2024-10-21,-0.013553110581779952
2024-10-22,0.0039992491899423005
2024-10-23,-0.016290263775892485
2024-10-24,-0.005885982453528947
2024-10-25,0.008221745116024679
2024-10-28,0.014871100710832473
2024-10-29,0.0025876525774428142
2024-10-30,-0.028251057016725464
2024-10-31,-0.023165615224562574
2024-11-01,0.008697899098091565
2024-11-04,0.01539319728186795
2024-11-05,0.018951199658462585
2024-11-06,0.014643536569082592
2024-11-07,0.0005068708026822796
2024-11-08,0.025175318838721164
2024-11-11,0.008321537114960437
2024-11-12,-0.024963164358580592
2024-11-13,-0.018585015824726943
2024-11-14,-0.04296704561826878
2024-11-15,-0.031183278198403403
2024-11-18,-0.007115634761453867
2024-11-19,0.018085531135535935
2024-11-20,0.009199976828260573
2024-11-21,0.017327373205004735
2024-11-22,0.026239793131607164
2024-11-25,0.021954059185016844
2024-11-26,0.0015945577688578263
2024-11-27,0.008555346675820183
2024-11-29,0.0049688006409195256
2024-12-02,-0.003925597936666353
2024-12-03,-0.018804648546945555
2024-12-04,0.018662791177430738
2024-12-05,-0.02176318998180768
2024-12-06,0.0419046312971203
2024-12-09,-0.024702262947248258
2024-12-10,-0.00740386220775581
2024-12-11,-0.01469214122208834
2024-12-12,-0.03776235950157328
2024-12-13,-0.002636099448028437
2024-12-16,0.013297909714504983
2024-12-17,-0.00041326652360948587
2024-12-18,-0.057526769726602645
2024-12-19,0.0038293437150663297
2024-12-20,0.011023921231918497
2024-12-23,-0.002613893443143333
2024-12-24,0.0002012406628995084
2024-12-26,0.016827358629309785
2024-12-27,-0.023094008809874868
2024-12-30,-0.016342939641153638
2024-12-31,0.0004912977563947284
2025-01-02,-0.002224572977364763
2025-01-03,0.02538429052637005
2025-01-06,-0.001708588438518168
2025-01-07,-0.00779889308907861
2025-01-08,0.0001943505778839728
2025-01-10,-0.0158904136554223
2025-01-13,-0.0048111128222389655
2025-01-14,-0.0011499001817232954
2025-01-15,0.024844973969081148
2025-01-16,0.0009553022452120574
2025-01-17,0.006155129050880145
2025-01-21,0.02476933788223721
2025-01-22,0.009095298608832743
2025-01-23,-0.0005553690809385432
2025-01-24,-0.013414000492686071
2025-01-27,-0.042110707440660575
2025-01-28,0.011499636354895152
2025-01-29,0.001992548061365098
2025-01-30,0.01614916929317215
2025-01-31,-0.007176073696557355
2025-02-03,0.011315741873183365
2025-02-04,0.01440159822530923
2025-02-05,0.03742464842298858
2025-02-06,0.01637299449471617
2025-02-07,-0.017542894969485592
2025-02-10,0.01167759801350299
2025-02-11,-0.022235323319125352
2025-02-12,-0.02295389030971439
2025-02-13,0.030794110154910452
2025-02-14,-9.48801761623836e-05
2025-02-18,0.003151874764770768
2025-02-19,-0.011168842420795924
2025-02-20,-0.016454042033407126
2025-02-21,-0.04105833580974562
2025-02-24,-0.02512314284188464
2025-02-25,-0.016421637116312362
2025-02-26,0.03313936110868298
2025-02-27,-0.04190906602239429
2025-02-28,0.008809963799561615
2025-03-03,-0.04487857779247198
2025-03-04,-0.0016737738526969273
2025-03-05,0.0052468760535811405
2025-03-06,-0.0334049562443251
2025-03-07,-0.0017274858773954314
2025-03-10,-0.04951469668280528
2025-03-11,0.025218708551315715
2025-03-12,0.0186362250348604
2025-03-13,-0.029964998933763982
2025-03-14,0.04877956672169509
2025-03-17,0.014260197700745873
2025-03-18,-0.021318771758681784
2025-03-19,0.02463646881151394
2025-03-20,-0.0019011167232891911
2025-03-21,0.004237732288892056
2025-03-24,0.028799387571395448
2025-03-25,-0.0037373812171934123
2025-03-26,-0.024166479620101208
2025-03-27,-0.005652934612668871
2025-03-28,-0.031088305413664634
2025-03-31,-0.018758824067335096
2025-04-01,0.0023445977741646373
2025-04-02,0.024758580572810655
2025-04-03,-0.08123547466318834
2025-04-04,-0.043346166301345176
2025-04-07,0.015166169893174186
2025-04-08,-0.03289079536538378
2025-04-09,0.09504278348461488
2025-04-10,-0.04658818592275707
2025-04-11,0.024318584158738804
2025-04-14,0.023352321951305897
2025-04-15,0.0035101632526213056
2025-04-16,-0.019511661694354684
2025-04-17,0.017933623033649267
2025-04-21,-0.01891113051676031
2025-04-22,0.03668964036056932
2025-04-23,0.02062991971533794
2025-04-24,0.029722257003526584
2025-04-25,0.005707277585300842
2025-04-28,0.014467024971966192
2025-04-29,0.002083419967050722
2025-04-30,-0.004398529766972371
2025-05-01,-0.00495888724578704
2025-05-02,0.030187400347121092
2025-05-05,0.0067128135705166935
2025-05-06,-0.017486961839143316
2025-05-07,0.02259964582703041
2025-05-08,-0.006877178744082441
2025-05-09,-0.005220375611910874
2025-05-12,0.023237101621062118
2025-05-13,0.0037090549544016712
2025-05-14,-0.0007051257238800672
2025-05-15,0.009957736868234153
2025-05-16,0.016372125996868388
2025-05-19,0.002025022717441166
2025-05-20,-0.004123153326442077
2025-05-21,-0.016905905817705152
2025-05-22,-0.003473831632097144
2025-05-23,0.002802547584382884
2025-05-27,0.016240882770186715
2025-05-28,-0.0044553253230201805
2025-05-29,0.0016854801547484441
2025-05-30,0.0004535902311175112
2025-06-02,0.007898642195657776
2025-06-03,0.017009955586572378
2025-06-04,0.0016826768283330876
2025-06-05,-0.0007453673232733315
2025-06-06,0.017040866178865237
2025-06-09,0.0006072681501670379
2025-06-10,0.002941318680199209
2025-06-11,-0.0061026549952694605
2025-06-12,-0.001025548795481623
2025-06-13,-0.01595300831975242
2025-06-16,0.007959070860313893
2025-06-17,-0.01569945286638045
2025-06-18,0.0005144973147240209
2025-06-20,-0.0007231810967356189
2025-06-23,0.012000713576462365
2025-06-24,0.014979592209697907
2025-06-25,-0.004010724951728956
2025-06-26,0.012102443402084774
2025-06-27,-0.006746683307954928
2025-06-30,0.0031853496431821465
2025-07-01,-0.010059443318173926
2025-07-02,0.012415104369314646
2025-07-03,0.013387565513742308
2025-07-07,-0.009668156737481922
2025-07-08,-0.0021106426954443378
2025-07-09,0.024530139688098862
2025-07-10,-0.00015675960113601924
2025-07-11,-0.01094282302838212
2025-07-14,0.017646111739100134
2025-07-15,-0.01935788848262489
2025-07-16,0.008049378177437783
2025-07-17,0.009770504160522515
2025-07-18,-0.015698065052322872
2025-07-21,0.005582364491801691
2025-07-22,0.0008836708550105142
2025-07-23,0.028025121683431728
2025-07-24,-0.01874847658982494
2025-07-25,0.00483269896047875
2025-07-28,-0.009573561139592233
2025-07-29,-0.010745672348467373
2025-07-30,0.003874824999806284
2025-07-31,0.00364753798911563
2025-08-01,-0.005673509298865272
2025-08-04,0.024117466602391648
2025-08-05,0.0006299858041528411
2025-08-06,-0.009347457024875338
2025-08-07,-0.01492903400428378
2025-08-08,-0.019377381164103674
